locale,name,script,script_type,mean_delta,n_models,old,new
chr,Cherokee,Cher,syllabary,0.2,16,0.0,0.2
ccp,Chakma,Cakm,abugida,0.2,16,0.0,0.2
hnj,Hmong Njua,Hmnp,alphabet,0.2,16,0.0,0.2
rhg,Rohingya,Rohg,abjad,0.2,16,0.0,0.2
vai,Vai,Vaii,syllabary,0.19978125000000002,16,0.001125,0.20090625
ii,Sichuan Yi,Yiii,syllabary,0.19933125000000002,16,0.0033375,0.20266875
sat,Santali,Olck,alphabet,0.195475,16,0.022574999999999998,0.21805000000000002
osa,Osage,Osge,alphabet,0.1934375,16,0.0328125,0.22625
or,Odia,Orya,abugida,0.1896357142857143,14,0.05114285714285714,0.24077857142857145
dv,Divehi,Thaa,abjad,0.18928125,16,0.0535625,0.24284375000000002
blt,Tai Dam,Tavt,abugida,0.1873125,16,0.06346875,0.25078125
cop,Coptic,Copt,alphabet,0.1859375,16,0.0703125,0.25625
iu,Inuktitut,Cans,syllabary,0.18453125,16,0.07740625,0.2619375
tig,Tigre,Ethi,syllabary,0.18360625,16,0.08186875,0.265475
wal,Wolaytta,Ethi,syllabary,0.18345,16,0.08275625,0.26620625000000003
csw,Swampy Cree,Cans,syllabary,0.18325,16,0.08375,0.267
ko,Korean,Kore,featural_syllabary,0.18195625,16,0.08934375,0.2713
bo,Tibetan,Tibt,abugida,0.17685625,16,0.11567500000000001,0.29253125
ti,Tigrinya,Ethi,syllabary,0.176675,16,0.11669375,0.29336875
byn,Blin,Ethi,syllabary,0.17613125,16,0.119375,0.29550624999999997
am,Amharic,Ethi,syllabary,0.17531875000000002,16,0.1234375,0.29875625
syr,Syriac,Syrc,abjad,0.17409375,16,0.12946875,0.3035625
si,Sinhala,Sinh,abugida,0.17146875,16,0.142725,0.31419375
gez,Geez,Ethi,syllabary,0.17023125,16,0.148775,0.31900625000000005
dz,Dzongkha,Tibt,abugida,0.165275,16,0.17351250000000001,0.3387875
lo,Lao,Laoo,abugida,0.16158750000000002,16,0.19205,0.35363750000000005
shn,Shan,Mymr,abugida,0.1571,16,0.21301875,0.37011875
km,Khmer,Khmr,abugida,0.15607500000000002,16,0.21909375,0.37516875
nqo,N’Ko,Nkoo,alphabet,0.1558125,16,0.22103125,0.37684375000000003
shi,Tachelhit,Tfng,alphabet,0.15273750000000003,16,0.236325,0.38906250000000003
zgh,Standard Moroccan Tamazight,Tfng,alphabet,0.15273750000000003,16,0.236325,0.38906250000000003
pa,Punjabi,Guru,abugida,0.14225625,16,0.28475625,0.4270125
my,Burmese,Mymr,abugida,0.136875,16,0.311875,0.44875
gu,Gujarati,Gujr,abugida,0.13490624999999998,16,0.31324375,0.44815
te,Telugu,Telu,abugida,0.1332125,16,0.3258875,0.4591
hy,Armenian,Armn,alphabet,0.1304,9,0.33216666666666667,0.4625666666666667
kn,Kannada,Knda,abugida,0.124125,16,0.37359375,0.49771875
ml,Malayalam,Mlym,abugida,0.1137125,16,0.42033750000000003,0.53405
cu,Church Slavic,Cyrl,alphabet,0.10053749999999997,16,0.4973875,0.5979249999999999
as,Assamese,Beng,abugida,0.09955000000000001,14,0.4987785714285714,0.5983285714285714
mni,Manipuri,Beng,abugida,0.09709999999999998,14,0.5108857142857143,0.6079857142857142
bn,Bangla,Beng,abugida,0.095775,16,0.5172875,0.6130625
ta,Tamil,Taml,abugida,0.09498749999999999,16,0.51406875,0.60905625
ka,Georgian,Geor,alphabet,0.08938125,16,0.54621875,0.6356
he,Hebrew,Hebr,abjad,0.07828571428571429,7,0.6084714285714286,0.6867571428571428
ur,Urdu,Arab,abjad,0.07474000000000001,5,0.62158,0.69632
doi,Dogri,Deva,abugida,0.07426875000000005,16,0.62401875,0.6982875000000001
sa,Sanskrit,Deva,abugida,0.07426875000000005,16,0.62401875,0.6982875000000001
xnr,Kangri,Deva,abugida,0.07423571428571428,14,0.6226357142857143,0.6968714285714286
kok,Konkani,Deva,abugida,0.07368124999999999,16,0.626875,0.70055625
ja,Japanese,Jpan,mixed_logographic,0.07196250000000003,16,0.63949375,0.71145625
bho,Bhojpuri,Deva,abugida,0.07189166666666667,12,0.6364500000000001,0.7083416666666666
raj,Rajasthani,Deva,abugida,0.07179999999999999,12,0.6365416666666667,0.7083416666666666
