model,locale,name,script,script_type,old_score,new_score,norm_score,comparability,delta
01-ai/Yi-34B,aa,Afar,Latn,alphabet,1.0,1.0,,direct,0.0
01-ai/Yi-34B,ab,Abkhazian,Cyrl,alphabet,0.72,0.72,,direct,0.0
01-ai/Yi-34B,af,Afrikaans,Latn,alphabet,0.9568,0.9568,,direct,0.0
01-ai/Yi-34B,agq,Aghem,Latn,alphabet,0.7077,0.7077,,direct,0.0
01-ai/Yi-34B,ak,Akan,Latn,alphabet,0.9273,0.9273,,direct,0.0
01-ai/Yi-34B,am,Amharic,Ethi,syllabary,0.2,0.2,,within_script_only,0.0
01-ai/Yi-34B,an,Aragonese,Latn,alphabet,1.0,1.0,,direct,0.0
01-ai/Yi-34B,ann,Obolo,Latn,alphabet,0.7949,0.7949,,direct,0.0
01-ai/Yi-34B,apc,apc,Arab,abjad,0.4133,0.4133,,direct,0.0
01-ai/Yi-34B,ar,Arabic,Arab,abjad,0.4133,0.4133,,direct,0.0
01-ai/Yi-34B,arn,Mapuche,Latn,alphabet,0.904,0.904,,direct,0.0
01-ai/Yi-34B,as,Assamese,Beng,abugida,0.2,0.2,,direct,0.0
01-ai/Yi-34B,asa,Asu,Latn,alphabet,1.0,1.0,,direct,0.0
01-ai/Yi-34B,ast,Asturian,Latn,alphabet,0.95,0.95,,direct,0.0
01-ai/Yi-34B,az,Azerbaijani,Latn,alphabet,0.9758,0.9758,,direct,0.0
01-ai/Yi-34B,ba,Bashkir,Cyrl,alphabet,0.8095,0.8095,,direct,0.0
01-ai/Yi-34B,bal,Baluchi,Arab,abjad,0.4909,0.4909,,direct,0.0
01-ai/Yi-34B,bas,Basaa,Latn,alphabet,0.7161,0.7161,,direct,0.0
01-ai/Yi-34B,be,Belarusian,Cyrl,alphabet,0.95,0.95,,direct,0.0
01-ai/Yi-34B,bem,Bemba,Latn,alphabet,1.0,1.0,,direct,0.0
01-ai/Yi-34B,bew,Betawi,Latn,alphabet,0.9724,0.9724,,direct,0.0
01-ai/Yi-34B,bez,Bena,Latn,alphabet,1.0,1.0,,direct,0.0
01-ai/Yi-34B,bg,Bulgarian,Cyrl,alphabet,1.0,1.0,,direct,0.0
01-ai/Yi-34B,bgc,Haryanvi,Deva,abugida,0.2414,0.2414,,direct,0.0
01-ai/Yi-34B,bgn,Western Balochi,Arab,abjad,0.4378,0.4378,,direct,0.0
01-ai/Yi-34B,bho,Bhojpuri,Deva,abugida,0.25,0.25,,direct,0.0
01-ai/Yi-34B,blo,Anii,Latn,alphabet,0.7061,0.7061,,direct,0.0
01-ai/Yi-34B,blt,Tai Dam,Tavt,abugida,0.2,0.2,,direct,0.0
01-ai/Yi-34B,bm,Bambara,Latn,alphabet,0.8815,0.8815,,direct,0.0
01-ai/Yi-34B,bn,Bangla,Beng,abugida,0.2,0.2,,direct,0.0
01-ai/Yi-34B,bo,Tibetan,Tibt,abugida,0.2,0.2,,direct,0.0
01-ai/Yi-34B,br,Breton,Latn,alphabet,0.9448,0.9448,,direct,0.0
01-ai/Yi-34B,brx,Bodo,Deva,abugida,0.2393,0.2393,,direct,0.0
01-ai/Yi-34B,bs,Bosnian,Latn,alphabet,0.9704,0.9704,,direct,0.0
01-ai/Yi-34B,bss,Akoose,Latn,alphabet,0.7538,0.7538,,direct,0.0
01-ai/Yi-34B,byn,Blin,Ethi,syllabary,0.2,0.2,,within_script_only,0.0
01-ai/Yi-34B,ca,Catalan,Latn,alphabet,0.9784,0.9784,,direct,0.0
01-ai/Yi-34B,cad,Caddo,Latn,alphabet,0.84,0.84,,direct,0.0
01-ai/Yi-34B,cch,Atsam,Latn,alphabet,0.8857,0.8857,,direct,0.0
01-ai/Yi-34B,ccp,Chakma,Cakm,abugida,0.2,0.2,,direct,0.0
01-ai/Yi-34B,ce,Chechen,Cyrl,alphabet,0.9529,0.9529,,direct,0.0
01-ai/Yi-34B,ceb,Cebuano,Latn,alphabet,1.0,1.0,,direct,0.0
